Threshold,Precision,Recall,F1 Score
0.1,0.0838477715216064,0.9957703927492447,0.15467158879381815
0.15000000000000002,0.08953447928679957,0.9850956696878147,0.16414955027520473
0.20000000000000004,0.09733848029256399,0.9649546827794562,0.17683860847097904
0.25000000000000006,0.10620971256853165,0.932527693856999,0.19069978170435356
0.30000000000000004,0.11688516407009432,0.89607250755287,0.20679557497443526
0.3500000000000001,0.12893790750106635,0.8523665659617321,0.2239923783311721
0.40000000000000013,0.14330810345446066,0.8046324269889225,0.24328603617319286
0.45000000000000007,0.16008387179596903,0.7534743202416918,0.2640643749558834
0.5000000000000001,0.17700540315876975,0.6862034239677745,0.28141907239912445
0.5500000000000002,0.19793681495809157,0.6183282980866063,0.29987789987789987
0.6000000000000002,0.22061125298624268,0.5393756294058409,0.3131431244153414
0.6500000000000001,0.24915641667573746,0.4610271903323263,0.323487846240814
0.7000000000000002,0.28111094061684827,0.3689828801611279,0.31910816930848285
0.7500000000000002,0.32958010790523107,0.28298086606243705,0.3045080190723884
0.8000000000000002,0.3860785107244031,0.19214501510574017,0.25658956428187196
0.8500000000000002,0.4461538461538462,0.10513595166163142,0.17017114914425427
0.9000000000000002,0.5606936416184971,0.03907351460221551,0.0730559216720015
